电影名称,                                    发布时间及点击量,                     简介
2017年爱情喜剧《前任3：再见前任》BD国语中字(修正),"日期：2018-06-04 23:10:40 点击：0 ",[06.04][中国][前任3：再见前任][BD-mkv.720p.国语中字][2017年爱情喜剧] ◎译 名 前任3：再见前任/前任3/前任攻略3/前任3：颜值大作战 ◎片 名 The Ex-File: The Return of the Exes ◎年 代 2017 ◎产 地 中国 ◎类 别 喜剧/爱情 ◎语 言 普通话 ◎字 幕 中文 ◎上映
电影名称,发布时间及点击量,简介
2018年冒险动作《古墓丽影：源起之战》BD国英双语双字,"日期：2018-06-03 18:15:29 
点击：0 ",古墓丽影：源起之战][BD-mkv.720p.国英双语双字][2018年冒险动作] ◎译 名 古墓丽影：源起之战/盗墓者罗拉(港)/古墓奇兵(台)/新古墓丽影 ◎片 名 Tomb Raider ◎年 代 2018 ◎产 地 美国 ◎类 别 动作/冒险 ◎语 言 英语/国语 ◎字 幕 中英双字幕 ◎上映日期 2018-03-16
电影名称,发布时间及点击量,简介
2018年奇幻喜剧《捉妖记2》BD国粤双语中字,"日期：2018-06-02 19:56:26 
点击：0 ",捉妖记2][BD-mkv.720p.国粤双语中字][2018年奇幻喜剧] ◎译 名 Monster Hunt 2 ◎片 名 捉妖记2 ◎年 代 2018 ◎产 地 中国/中国香港 ◎类 别 喜剧/奇幻 ◎语 言 普通话/粤语 ◎字 幕 中文 ◎上映日期 2018-02-16(中国) ◎IMDb评分 5.4/10 from 259 users ◎豆瓣评分 5.
电影名称,发布时间及点击量,简介
2018年动画喜剧《熊出没·变形记》HD国语中字,"日期：2018-06-02 09:57:58 
点击：0 ",熊出没变形记][HD-mp4.1080p.国语中字][2018年动画喜剧] ◎译 名 5Boonie.Bears.The.Big.Shrink ◎片 名 熊出没变形记/熊出没5/熊出没大电影 ◎年 代 2018 ◎产 地 中国 ◎类 别 喜剧/动画/冒险 ◎语 言 普通话 ◎字 幕 中文 ◎上映日期 2018-02-16(中国) ◎豆瓣评分 6.
电影名称,发布时间及点击量,简介
2018年科幻悬疑《湮灭/灭绝》BD中英双字幕,"日期：2018-06-02 00:47:35 
点击：0 ",湮灭/灭绝][BD-mkv.720p.国英双语双字][2018年科幻悬疑] ◎译 名 湮灭/灭绝(台)/灭。境(港)/遗落的南境1：湮灭 ◎片 名 Annihilation ◎年 代 2018 ◎产 地 美国/英国 ◎类 别 科幻/悬疑/惊悚 ◎语 言 英语/国语 ◎字 幕 中英双字幕 ◎上映日期 2018-02-23(美国)/2018-
电影名称,发布时间及点击量,简介
2018年冒险动作《古墓丽影：源起之战》HD中英双字幕,"日期：2018-05-29 22:41:03 
点击：0 ",古墓丽影：源起之战][HD-mkv.720p.中英双字][2018年冒险动作] ◎译 名 古墓丽影：源起之战/盗墓者罗拉(港)/古墓奇兵(台)/新古墓丽影 ◎片 名 Tomb Raider ◎年 代 2018 ◎产 地 美国 ◎类 别 动作/冒险 ◎语 言 英语 ◎字 幕 中英双字幕 ◎上映日期 2018-03-16(美国/中
电影名称,发布时间及点击量,简介
